,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
369673,0,0,0,0,0,0,5,0,2,0,0
407957,0,0,0,0,0,0,2,0,1,0,0
333152,0,1,0,0,1,0,4,0,2,3,0
350517,0,0,0,0,1,0,3,0,2,1,0
426293,0,0,0,0,1,0,5,0,2,0,0
63835,0,0,0,0,0,0,2,0,1,1,0
192083,0,0,0,0,1,0,5,0,3,1,0
136258,0,1,0,0,1,0,3,0,3,2,0
256593,0,0,0,0,1,0,2,0,3,3,0
190511,0,0,0,0,0,0,0,0,1,0,0
304137,0,0,0,0,0,0,3,0,3,0,0
277246,0,0,0,0,0,0,2,0,2,1,0
106884,0,0,0,0,1,0,4,0,2,0,0
151950,0,0,0,0,1,0,1,0,2,4,0
393934,0,0,0,0,0,0,2,0,2,0,0
269646,0,1,0,0,1,0,2,0,2,2,0
25255,0,0,0,0,1,0,2,0,2,2,0
289567,0,0,0,0,1,0,4,0,4,0,0
226264,0,1,0,0,0,0,0,0,1,2,0
357686,0,0,0,0,1,0,2,0,5,0,0
365832,0,1,0,0,0,0,0,0,2,1,0
398004,0,0,0,0,0,0,2,0,3,0,0
248961,0,1,0,0,1,0,2,0,3,1,0
237053,0,0,0,0,1,0,1,0,3,0,0
330631,0,0,0,0,1,0,6,0,2,0,9
307189,0,0,0,0,1,0,5,0,2,3,0
78716,0,0,0,0,0,0,3,0,2,0,0
338277,0,0,0,0,1,0,3,0,4,0,0
385964,0,0,0,0,0,0,2,0,1,1,0
63772,0,0,0,0,0,0,3,0,2,0,0
118289,0,0,0,1,1,0,3,0,3,1,2
91876,0,0,0,0,0,0,1,0,1,0,0
415873,0,0,0,0,1,0,5,0,2,1,0
362426,0,0,0,0,0,0,2,0,2,0,0
60278,0,0,0,0,1,0,5,0,1,1,0
287308,0,1,0,0,1,0,2,0,3,1,0
392811,0,0,0,0,0,0,1,0,2,0,0
318723,0,1,0,0,1,0,4,0,3,1,0
361427,0,0,0,0,0,0,0,0,2,0,0
87063,0,0,0,0,0,0,1,0,3,3,0
370210,0,0,0,0,1,0,3,0,2,1,0
28490,0,1,0,0,1,0,2,0,3,1,0
42797,0,0,0,0,1,0,4,0,2,0,3
281707,0,0,0,0,0,0,1,0,4,0,0
58126,0,0,0,0,0,0,0,0,2,0,0
278561,0,0,0,0,1,0,2,0,3,0,6
377034,0,0,0,0,0,0,0,0,2,0,0
69484,0,0,0,0,1,0,3,0,4,3,0
77762,0,0,0,0,1,0,6,0,3,1,0
396997,0,0,0,0,0,0,1,0,2,0,0
367929,0,0,0,0,0,0,3,0,2,0,1
47252,0,0,0,0,0,0,1,0,3,1,0
405979,0,1,0,0,1,0,3,0,2,8,0
102108,0,0,0,0,1,0,4,0,4,0,0
413320,0,0,0,0,0,0,1,0,1,0,0
98384,0,0,0,0,0,0,0,0,2,0,0
221550,0,0,0,0,1,0,1,0,3,0,1
334727,0,0,0,0,0,0,0,0,2,0,0
164837,0,0,0,0,1,0,1,0,1,0,0
54914,0,0,0,0,1,0,4,0,3,2,0
188069,0,0,0,0,1,0,3,0,2,8,0
104926,0,0,0,0,0,0,2,0,2,0,0
337932,0,0,0,0,0,0,2,0,2,0,0
49845,0,0,0,0,1,0,1,0,7,0,0
289449,0,0,0,0,1,0,1,0,3,3,4
374131,0,0,0,0,1,0,4,0,3,0,2
368462,0,0,0,0,1,0,1,0,2,6,0
319686,0,0,0,0,1,0,3,0,2,0,6
313868,0,0,0,0,1,0,6,0,4,0,3
204933,0,0,0,0,1,0,3,0,5,4,0
158765,0,0,0,0,0,0,1,0,3,0,0
137864,0,0,0,0,0,0,0,0,4,0,0
61735,0,0,0,0,1,0,3,0,2,3,0
216191,0,0,0,0,0,0,1,0,3,0,1
117636,0,0,0,0,1,0,3,0,4,5,0
288541,0,0,0,0,1,0,4,0,3,2,0
152477,0,0,0,0,1,0,5,0,3,2,0
104248,1,0,0,0,1,0,2,0,3,0,0
356781,0,0,0,0,0,0,2,0,2,1,0
29259,0,0,0,0,1,0,2,0,4,0,0
356662,0,0,0,0,1,0,2,0,4,0,0
295380,0,0,0,0,0,0,1,0,1,0,0
79556,0,0,0,0,0,0,1,0,2,0,1
426549,0,0,0,0,1,0,2,0,2,3,0
283065,0,0,0,0,1,0,3,0,3,4,0
51498,0,0,0,0,1,0,1,0,4,1,0
412833,0,0,0,0,0,0,0,0,2,0,0
372084,0,1,0,0,1,0,1,0,3,3,2
432363,0,0,0,0,1,0,3,0,2,2,0
352662,0,0,0,0,0,0,1,0,3,0,0
224093,0,0,0,0,1,0,3,0,2,12,0
337732,0,0,0,0,1,0,3,0,4,5,0
220973,0,0,0,0,0,0,2,0,3,0,0
104037,0,0,0,0,0,0,0,0,2,0,0
50189,0,0,0,0,1,0,4,0,3,2,0
373176,0,0,0,0,1,0,6,0,2,0,1
407077,0,0,0,0,1,0,3,0,3,3,0
407038,0,0,0,0,0,0,2,0,3,0,0
358210,0,0,0,0,1,0,4,0,2,12,0
157394,0,0,0,0,1,0,4,0,4,0,0
313156,0,0,0,0,1,0,4,0,4,0,1
201429,0,0,0,0,0,0,2,0,3,0,1
236847,0,0,0,0,1,0,3,0,3,0,1
7234,0,0,0,0,1,0,2,0,3,1,0
158077,0,0,0,0,0,0,1,0,2,0,0
414549,0,0,0,0,1,0,6,0,14,1,0
