,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
370250,0,0,0,0,0,0,1,0,1,0,0
408875,0,0,0,0,0,0,1,0,1,0,0
333080,0,0,0,0,1,0,2,0,4,2,0
350525,0,0,0,0,0,0,1,0,2,0,1
426204,0,0,0,0,1,0,2,0,3,0,1
63609,0,0,0,0,1,0,5,0,2,1,0
192178,0,0,0,0,1,0,3,0,2,4,0
136401,0,0,0,0,0,0,1,0,2,1,0
256494,0,0,0,0,0,0,0,0,2,0,0
190328,0,0,0,0,1,0,6,0,2,1,0
304185,0,0,0,0,1,0,2,0,3,0,3
277448,0,0,0,0,0,0,1,0,1,0,0
107104,0,0,0,0,1,0,3,0,2,4,0
152038,0,0,0,0,0,0,1,0,3,0,0
394362,0,1,0,0,1,0,5,0,1,2,0
269537,0,0,0,0,0,0,0,0,2,0,0
25300,0,0,0,0,1,0,1,0,5,1,0
289643,0,0,0,0,1,0,2,0,2,3,0
226130,0,0,0,0,0,0,1,0,4,0,0
357549,0,0,0,0,0,0,0,0,3,0,0
366331,0,0,0,0,0,0,4,0,2,0,0
397812,0,0,0,0,0,0,3,0,2,1,0
248773,0,0,0,0,0,0,0,0,2,0,0
236927,0,0,0,0,1,0,2,0,3,0,5
330584,0,0,0,0,0,0,2,0,3,0,0
307184,0,0,0,0,0,0,1,0,2,0,0
78528,0,0,0,0,1,0,3,0,2,0,2
338223,0,0,0,0,1,0,3,0,4,0,1
386460,0,0,0,0,1,0,4,0,1,1,0
63850,0,0,0,0,1,0,2,0,2,3,0
117408,0,0,0,0,0,0,1,0,2,0,1
91461,0,0,0,0,1,0,3,0,3,1,0
415684,0,0,0,0,0,0,1,0,3,0,1
362928,0,0,0,0,0,0,2,0,3,0,0
60196,0,0,0,0,1,0,7,0,2,0,0
287352,0,0,0,0,0,0,2,0,3,0,0
393376,0,0,0,0,1,0,3,0,2,0,1
318578,0,0,0,0,0,0,3,0,1,0,0
361258,0,0,0,0,0,0,0,0,3,0,0
87173,0,0,0,0,1,0,1,0,3,0,1
370860,0,0,0,0,1,0,5,0,2,0,0
28472,0,0,0,0,1,0,2,0,3,0,4
42905,0,0,0,0,0,0,1,0,3,0,0
281687,0,0,0,0,1,0,1,0,4,0,6
58187,0,0,0,0,0,0,1,0,2,0,0
278495,0,0,0,0,1,0,2,0,3,0,0
376907,0,0,0,0,1,0,3,0,4,5,0
69554,0,0,0,0,1,0,1,0,4,2,1
77500,0,0,0,0,0,0,1,0,1,0,0
396845,0,0,0,0,1,0,1,0,3,1,0
367810,0,0,0,0,0,0,0,0,2,0,0
47269,0,0,0,0,0,0,1,0,2,0,1
405744,0,0,0,0,0,0,1,0,3,0,1
101823,0,0,0,0,1,0,2,0,1,2,0
414062,0,0,0,0,0,0,1,0,2,0,0
98507,0,0,0,0,1,0,5,0,2,7,0
221589,0,0,0,0,0,0,1,0,2,0,2
334678,0,0,0,0,1,0,2,0,2,2,0
164498,0,0,0,0,1,0,4,0,1,0,2
54925,0,0,0,0,0,0,1,0,4,0,1
188175,0,0,0,0,1,0,2,0,3,0,1
104179,0,0,0,0,0,0,2,0,2,0,0
338091,0,0,0,0,0,0,0,0,1,0,0
49860,0,0,0,0,0,0,1,0,2,0,0
289527,0,0,0,0,0,0,0,0,2,0,0
373943,0,0,0,0,1,0,3,0,2,0,5
368319,0,0,0,0,1,0,3,0,2,0,0
319751,0,0,0,0,1,0,4,0,2,5,0
313760,0,0,0,0,1,0,2,0,3,0,0
204890,0,0,0,0,0,0,3,0,2,2,0
158846,0,0,0,0,0,0,1,0,3,1,0
138024,0,0,0,0,0,0,2,0,3,1,0
61815,0,0,0,0,0,0,0,0,2,0,0
216118,0,0,0,0,1,0,7,0,3,0,1
117926,0,0,0,0,0,0,2,0,3,0,2
288626,0,0,0,0,0,0,3,0,2,0,0
152556,0,0,0,0,1,0,4,0,3,1,2
103628,0,0,0,0,1,0,7,0,3,1,0
356635,0,0,0,0,0,0,2,0,3,0,1
29306,0,0,0,0,0,0,0,0,1,0,0
356498,0,0,0,0,1,0,3,0,3,0,4
295216,0,0,0,0,1,0,5,0,2,6,1
79621,0,0,0,0,0,0,0,0,2,0,0
426474,0,0,0,0,1,0,1,0,2,3,0
283048,0,0,0,0,0,0,1,0,2,1,0
51550,0,0,0,0,0,0,0,0,3,0,0
412588,0,0,0,0,1,0,2,0,3,0,0
372647,0,1,0,0,1,0,9,0,3,2,0
432284,0,0,0,0,1,0,2,0,2,5,0
352654,0,0,0,0,1,0,1,0,3,0,0
224136,0,0,0,0,0,0,2,0,3,1,0
337687,0,0,0,0,1,0,1,0,3,0,0
220994,0,0,0,0,1,0,4,0,4,0,0
104231,0,0,0,0,0,0,3,0,3,0,0
50191,0,0,0,0,0,0,2,0,3,0,1
373725,0,0,0,0,0,0,2,0,2,0,0
406841,0,0,0,0,1,0,2,0,3,2,0
406803,0,0,0,0,1,0,5,0,2,7,0
358067,0,0,0,0,0,0,0,0,2,0,0
157458,0,0,0,0,0,0,0,0,2,0,0
313154,0,0,0,0,0,0,2,0,2,1,0
201514,0,0,0,0,0,0,0,0,2,0,0
236725,0,0,0,0,0,0,3,0,2,0,0
7266,0,0,0,0,1,0,2,0,2,1,5
157801,0,0,0,0,0,0,1,0,1,0,0
415233,0,0,0,0,0,0,1,0,2,0,0
277377,0,0,0,0,1,0,4,0,2,1,0
376978,0,0,0,0,0,0,0,0,2,0,0
442517,0,0,0,0,1,0,1,0,3,0,0
253664,0,0,0,0,0,0,0,0,2,0,0
87063,0,0,0,1,1,0,3,0,5,0,1
