,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
511604,0,0,0,0,0,0,2,0,2,0,1
357504,0,0,0,0,1,0,5,0,3,0,1
110216,0,0,0,0,1,0,4,0,3,0,0
114770,0,0,0,0,1,0,3,0,3,5,0
470394,0,0,0,0,0,0,1,0,2,0,0
430830,0,0,0,0,0,0,2,0,2,0,1
90994,0,0,0,0,0,0,2,0,2,0,0
313217,0,0,0,0,1,0,3,0,1,6,0
508315,0,0,0,0,0,0,5,0,1,2,0
434204,0,0,0,0,1,0,2,0,1,0,0
498915,0,0,0,0,0,0,1,0,2,0,0
431057,0,0,0,0,1,0,1,0,1,10,0
88933,0,0,0,0,0,0,3,0,2,0,2
472875,0,0,0,0,1,0,2,0,1,8,0
50865,0,0,0,0,1,0,2,0,2,12,0
375511,0,0,0,0,0,0,2,0,2,0,0
204699,0,0,0,0,0,0,5,0,2,1,0
116445,0,0,0,0,0,0,1,0,1,0,0
374341,0,0,0,0,0,0,3,0,2,2,0
240984,0,0,0,0,0,0,3,0,2,0,1
237211,0,0,0,0,1,0,3,0,2,0,0
167255,0,0,0,0,0,0,4,0,1,2,0
338931,0,0,0,0,0,0,2,0,2,0,0
6563,0,0,0,0,0,0,4,0,4,0,0
490480,0,0,0,0,1,0,2,0,2,0,0
244858,0,0,0,0,0,0,2,0,3,0,0
195740,0,0,0,0,1,0,3,0,3,0,0
400093,0,0,0,0,1,0,5,0,1,5,0
336967,0,0,0,0,1,0,3,0,2,0,1
488189,0,0,0,0,1,0,4,0,3,4,0
511633,0,0,0,0,1,0,8,0,3,4,0
397905,0,0,0,0,0,0,2,0,4,0,0
237326,0,0,0,0,0,0,5,0,2,0,0
410844,0,0,0,0,0,0,1,0,1,0,0
233392,0,0,0,0,1,0,6,0,2,0,0
480395,0,0,0,0,1,0,5,0,3,2,0
336956,0,0,0,0,0,0,1,0,1,0,0
116356,0,0,0,0,0,0,2,0,3,1,3
476474,0,0,0,0,1,0,4,0,1,8,0
191717,0,0,0,0,1,0,4,0,2,0,2
521755,0,0,0,0,0,0,4,0,1,0,0
298664,0,0,0,0,0,0,2,0,1,3,0
96209,0,0,0,0,0,0,2,0,4,0,2
220724,0,0,0,0,0,0,4,0,2,0,0
139167,0,0,0,0,0,0,1,0,1,0,0
131468,0,0,0,0,0,0,1,0,2,0,0
1425,0,0,0,0,0,0,2,0,4,2,0
55202,0,0,0,0,0,0,2,0,1,0,0
455822,0,0,0,0,0,0,4,0,1,0,0
329520,0,0,0,0,0,0,2,0,2,2,0
479926,0,0,0,0,0,0,1,0,2,1,0
77405,0,0,0,0,0,0,4,0,1,2,0
385747,0,0,0,0,1,0,3,0,2,0,0
176505,0,0,0,0,0,0,4,0,2,0,0
115050,0,0,0,0,1,0,2,0,6,1,0
285033,0,0,0,0,0,0,2,0,1,0,0
14344,0,0,0,0,1,0,3,0,3,3,0
181820,0,0,0,0,1,0,3,0,2,0,6
427406,0,0,0,0,1,0,4,0,2,7,0
231903,0,0,0,0,0,0,2,0,2,0,0
240960,0,0,0,0,0,0,1,0,1,0,0
353458,0,0,0,0,1,0,7,0,2,0,0
328194,0,0,0,0,1,0,3,0,1,8,0
379700,0,0,0,0,1,0,5,0,2,0,0
405909,0,0,0,0,0,0,2,0,1,0,0
483210,0,0,0,0,0,0,2,0,2,0,1
111738,0,0,0,0,1,0,4,0,2,1,0
430821,0,0,0,0,1,0,6,0,3,0,0
238924,0,0,0,0,0,0,2,0,3,2,0
244068,0,0,0,0,1,0,4,0,1,1,0
62021,0,0,0,0,0,0,1,0,1,0,0
37626,0,0,0,0,0,0,1,0,3,2,0
312771,0,0,0,0,1,0,2,0,2,2,0
512685,0,0,0,0,1,0,5,0,2,0,0
251616,0,0,0,0,0,0,4,0,3,1,0
457903,0,0,0,0,0,0,2,0,2,0,3
188740,0,0,0,0,1,0,2,0,1,5,0
383206,0,0,0,0,0,0,2,0,2,0,0
475572,0,0,0,0,0,0,2,0,2,0,0
336647,0,0,0,0,0,0,2,0,2,1,0
143940,0,0,0,0,0,0,3,0,2,1,0
196593,0,0,0,0,1,0,2,0,3,2,7
72123,0,0,0,0,1,0,3,0,1,5,0
217076,0,0,0,0,0,0,2,0,2,0,0
207005,0,0,0,0,1,0,4,0,1,4,0
436075,0,0,0,0,1,0,6,0,2,13,0
284100,0,0,0,0,0,0,1,0,1,0,0
86864,0,0,0,0,0,0,5,0,2,0,1
479251,0,0,0,0,0,0,3,0,1,2,0
104632,0,0,0,0,0,0,2,0,2,0,0
486843,0,0,0,0,1,0,8,0,2,2,1
31760,0,0,0,0,0,0,3,0,2,0,2
288308,0,0,0,0,0,0,1,0,1,0,0
448140,0,0,0,0,0,0,4,0,1,1,0
478307,0,0,0,0,1,0,5,0,1,1,0
228929,0,0,0,0,0,0,3,0,2,0,0
134798,0,0,0,0,0,0,6,0,2,1,0
193598,0,0,0,0,1,0,2,0,1,10,0
416653,0,0,0,0,0,0,1,0,2,0,0
279211,0,0,0,0,0,0,1,0,1,0,0
319825,0,0,0,0,0,0,6,0,1,1,0
172617,0,0,0,0,0,0,3,0,3,0,0
144105,0,0,0,0,0,0,1,0,1,0,0
152466,0,0,0,0,0,0,2,0,1,0,1
447789,0,0,0,0,0,0,4,0,1,0,0
461074,0,1,0,0,1,0,5,0,3,5,5
